Scenario Capacity Slack Demand DistanceTraveled RidingTime WaitingTime Obj ComputationTime
30_25 25 0.08 400 23.8975 86.6891 6156.86 6267.45 257.632
30_26 25 0.08 400 23.3463 71.7944 6304.2 6399.34 280.26
30_27 15 0.16 200 9.15974 97.6135 189.111 295.884 3.38182
30_28 15 0.16 200 8.97022 110.52 231.845 351.335 3.35237
30_29 15 0.16 200 9.54289 94.0737 223.716 327.333 3.16786
30_30 15 0.16 300 12.8337 158.918 1479.84 1651.6 18.2741
30_31 15 0.16 300 12.7373 151.765 1435.12 1599.62 16.4485
30_32 15 0.16 300 13.0749 149.4 1389.41 1551.88 16.3608
30_33 15 0.16 400 16.9594 217.956 3948.08 4183 71.5473
30_34 15 0.16 400 17.1007 210.973 4018.07 4246.15 73.1324
30_35 15 0.16 400 17.5996 194.993 4048.31 4260.9 78.7202
30_36 20 0.16 200 8.59519 103.796 26.9073 139.298 1.67326
30_37 20 0.16 200 8.52267 104.985 29.7735 143.282 1.48832
30_38 20 0.16 200 8.58293 104.52 26.4705 139.573 1.72894
30_39 20 0.16 300 10.7442 160.053 429.442 600.239 6.84191
30_40 20 0.16 300 10.7998 159.593 415.973 586.366 7.18782
30_41 20 0.16 300 10.8178 164.703 414.944 590.465 7.53328
30_42 20 0.16 400 13.435 219.767 2110.01 2343.22 31.9249
30_43 20 0.16 400 13.8153 216.277 1983.27 2213.36 27.8656
30_44 20 0.16 400 13.9807 222.944 2307.88 2544.81 33.2164
30_45 25 0.16 200 8.58468 108.37 30.5692 147.524 1.38406
30_46 25 0.16 200 8.70225 104.678 33.467 146.848 1.83647
30_47 25 0.16 200 8.51034 102.828 29.332 140.67 1.38758
30_48 25 0.16 300 10.5615 159.739 396.345 566.645 6.86393
30_49 25 0.16 300 9.97662 158.374 90.931 259.282 5.08222
30_50 25 0.16 300 10.4576 161.687 362.781 534.925 6.2746
30_51 25 0.16 400 13.3927 220.147 1674.01 1907.55 24.4234
30_52 25 0.16 400 13.0623 221.232 1501.02 1735.32 21.1298
30_53 25 0.16 400 13.8156 219.34 1748.04 1981.19 26.5684
30_54 15 0.25 200 9.59286 136.572 60.7901 206.955 2.61691
30_55 15 0.25 200 9.53871 135.211 64.325 209.075 2.51876
30_56 15 0.25 200 9.39365 137.579 82.3375 229.311 2.63594
30_57 15 0.25 300 12.8387 202.939 1656.74 1872.51 13.637
30_58 15 0.25 300 12.8738 213.112 1571.52 1797.5 12.9818
30_59 15 0.25 300 12.832 201.143 1699.66 1913.64 15.145
30_60 15 0.25 400 17.399 271.032 4732.72 5021.15 60.9737
30_61 15 0.25 400 17.916 281.018 4579.68 4878.62 57.0991
30_62 15 0.25 400 17.4752 282.064 4821 5120.54 62.3739
30_63 20 0.25 200 8.91325 135.336 34.3952 178.644 1.38599
30_64 20 0.25 200 8.72591 135.321 40.0758 184.123 1.29781
30_65 20 0.25 200 9.28999 142.614 38.3886 190.293 1.31402
30_66 20 0.25 300 10.8231 207.927 365.482 584.232 6.11503
30_67 20 0.25 300 10.6313 208.034 408.029 626.694 6.41001
30_68 20 0.25 300 11.1196 203.731 299.486 514.337 5.7687
30_69 20 0.25 400 13.8426 280.023 2125.87 2419.73 22.6581
30_70 20 0.25 400 13.9604 283.618 2170.22 2467.8 23.0805
30_71 20 0.25 400 13.5475 288.308 2143.04 2444.89 23.3395
30_72 25 0.25 200 8.54814 135.134 38.0364 181.719 0.69398
30_73 25 0.25 200 8.8112 137.701 36.048 182.561 0.657812
30_74 25 0.25 200 8.62561 143.541 37.9188 190.085 0.625797
30_75 25 0.25 300 10.659 215.047 61.304 287.01 4.02312
30_76 25 0.25 300 10.2282 215.88 60.009 286.117 3.94999
30_77 25 0.25 300 10.5755 210.591 63.5785 284.745 3.92993
30_78 25 0.25 400 12.8954 285.615 780.505 1079.02 10.4344
30_79 25 0.25 400 12.7981 286.722 824.849 1124.37 11.6115
30_80 25 0.25 400 12.2783 285.757 643.797 941.832 11.1811
31_0 15 0.08 200 10.7861 38.4117 855.793 904.99 12.3455
31_1 15 0.08 200 11.2635 38.7966 932.099 982.159 15.4562
31_2 15 0.08 200 11.6158 39.7494 1006.24 1057.6 16.5791
31_3 15 0.08 300 18.852 54.242 3654.44 3727.53 97.7163
31_4 15 0.08 300 19.8448 56.3513 4014.32 4090.52 104.346
31_5 15 0.08 300 18.8574 52.5739 3685.04 3756.47 92.3784
31_6 15 0.08 400 22.8705 77.0777 5861.68 5961.63 226.873
31_7 15 0.08 400 22.5456 73.4011 5699.92 5795.87 225.563
31_8 15 0.08 400 22.335 80.1208 5378.59 5481.05 203.259
31_9 20 0.08 200 12.3919 37.037 1351.2 1400.62 18.3115
31_10 20 0.08 200 12.1312 42.9036 1021.54 1076.58 13.9165
31_11 20 0.08 200 12.3965 35.2392 1191.94 1239.57 15.3814
31_12 20 0.08 300 18.5304 63.7057 3604.42 3686.65 92.1334
31_13 20 0.08 300 17.7481 54.2532 3298.99 3370.99 80.5024
31_14 20 0.08 300 17.3393 60.1392 3032.81 3110.28 75.1037
31_15 20 0.08 400 24.7587 81.5811 6381.38 6487.72 266.402
31_16 20 0.08 400 24.3143 77.6913 6496.81 6598.81 286.987
31_17 20 0.08 400 24.2809 77.2206 6399.03 6500.53 263.33
31_18 25 0.08 200 11.5506 36.353 1161.01 1208.92 16.6049
31_19 25 0.08 200 12.1666 39.3796 1122.06 1173.6 15.6728
31_20 25 0.08 200 13.2474 40.0468 1428.06 1481.36 20.5517
31_21 25 0.08 300 19.8705 54.7603 3829.09 3903.72 99.8378
31_22 25 0.08 300 18.5949 57.1641 3500.34 3576.1 91.4188
31_23 25 0.08 300 16.407 56.8895 2921.08 2994.37 75.5918
31_24 25 0.08 400 24.8027 81.0111 6267.45 6373.27 324.786
31_25 25 0.08 400 24.1338 72.0916 6389.19 6485.42 329.058
31_26 25 0.08 400 23.9782 82.0993 6667.49 6773.57 392.952
31_27 15 0.16 200 9.38302 103.674 154.247 267.305 3.53669
31_28 15 0.16 200 9.2535 105.88 138.079 253.213 3.71583
